Column1,iso_code,location,pop2022,MSM_pop,imp_prob,imp_prob_percent,iso,lat,lon,country,WHO_CODE,CENTER_LON,CENTER_LAT,Country,first_repo,obs_imp_flag,asia_imp_flag,Note,color
30,QAT,Qatar,2695.122,26951,0.1182108626198083,11.821086261980831,QA,25.3158517135,51.1912640242,Qatar,QAT,51.1912640242,25.3158517135,NA,NA,0,0,NA,d_no_import
10,GEO,Georgia,3744.385,37444,0.1134185303514377,11.341853035143771,GE,42.1763655207,43.5176282353,Georgia,GEO,43.5176282353,42.1763655207,NA,NA,0,0,NA,d_no_import
2,AZE,Azerbaijan,10358.074,103581,0.10383386581469649,10.383386581469649,AZ,40.2922678414,47.5323904965,Azerbaijan,AZE,47.5323904965,40.2922678414,NA,NA,0,0,NA,d_no_import
3,BHR,Bahrain,1472.233,14722,0.09904153354632587,9.904153354632587,BH,26.0194604268,50.5625423486,Bahrain,BAA,50.5625423486,26.0194604268,Bahrain,2023-04-16,1,0,NA,c_import
22,LBN,Lebanon,5489.74,54897,0.09744408945686901,9.744408945686901,LB,33.9204952786,35.8881491197,Lebanon,LEB,35.8881491197,33.9204952786,Lebanon,2023-01-22,1,0,NA,c_import
34,SYR,Syrian Arab Republic,22125.249,221252,0.0878594249201278,8.78594249201278,SY,35.0131270058,38.5059120464,Syrian Arab Republic,SYR,38.5059120464,35.0131270058,NA,NA,0,0,NA,d_no_import
20,KGZ,Kyrgyzstan,6630.623,66306,0.08466453674121406,8.466453674121405,KG,41.467755424,74.5621063377,Kyrgyzstan,KGZ,74.5621063377,41.467755424,NA,NA,0,0,NA,d_no_import
1,ARM,Armenia,2780.469,27805,0.07987220447284345,7.987220447284344,AM,40.2864625795,44.9479689182,Armenia,ARM,44.9479689182,40.2864625795,NA,NA,0,0,NA,d_no_import
5,BTN,Bhutan,782.455,7825,0.07827476038338659,7.827476038338658,BT,27.4155639238,90.429491776,Bhutan,BHU,90.429491776,27.4155639238,NA,NA,0,0,NA,d_no_import
36,TJK,Tajikistan,9952.787,99528,0.06389776357827476,6.3897763578274756,TJ,38.5292934717,71.0418513562,Tajikistan,TJK,71.0418513562,38.5292934717,NA,NA,0,0,NA,d_no_import
9,CYP,Cyprus,1251.488,12515,0.04313099041533546,4.313099041533546,CY,35.0430404095,33.218689859,Cyprus,CYP,33.218689859,35.0430404095,NA,NA,0,0,NA,d_no_import
