Column1,iso_code,location,pop2022,MSM_pop,imp_prob
1,ARM,Armenia,2780.469,27805,0.07987220447284345
2,AZE,Azerbaijan,10358.074,103581,0.10383386581469649
3,BHR,Bahrain,1472.233,14722,0.09904153354632587
4,BGD,Bangladesh,171186.372,1711864,0.15175718849840256
5,BTN,Bhutan,782.455,7825,0.07827476038338659
6,BRN,Brunei Darussalam,449.002,4490,0.1485623003194888
7,KHM,Cambodia,16767.842,167678,0.20447284345047922
8,CHN,China,1.425887337e6,14258873,0.5511182108626198
9,CYP,Cyprus,1251.488,12515,0.04313099041533546
10,GEO,Georgia,3744.385,37444,0.1134185303514377
11,HKG,"Hong Kong, China",7488.865,74889,0.33226837060702874
12,IND,India,1.417173173e6,14171732,0.21405750798722045
13,IDN,Indonesia,275501.339,2755013,0.24281150159744408
14,IRN,"Iran, Islamic Republic of",88550.57,885506,0.134185303514377
15,JPN,Japan,123951.692,1239517,1.0
16,JOR,Jordan,11285.868,112859,0.11980830670926518
17,KAZ,Kazakhstan,19397.998,193980,0.14376996805111822
18,KOR,"Korea, Republic of",51815.81,518158,1.0
19,KWT,Kuwait,4268.873,42689,0.14217252396166133
20,KGZ,Kyrgyzstan,6630.623,66306,0.08466453674121406
21,LAO,Lao People's Democratic Republic,7529.475,75295,0.1900958466453674
22,LBN,Lebanon,5489.74,54897,0.09744408945686901
23,MYS,Malaysia,33938.222,339382,0.2571884984025559
24,MDV,Maldives,523.787,5238,0.13738019169329074
25,MNG,Mongolia,3398.366,33984,0.1853035143769968
26,MMR,Myanmar,54179.306,541793,0.20607028753993611
27,NPL,Nepal,30547.58,305476,0.14057507987220447
28,OMN,Oman,4576.298,45763,0.13258785942492013
29,PHL,Philippines,115559.009,1155590,0.28913738019169327
30,QAT,Qatar,2695.122,26951,0.1182108626198083
31,SAU,Saudi Arabia,36408.82,364088,0.16134185303514376
32,SGP,Singapore,5975.688,59757,0.2507987220447284
33,LKA,Sri Lanka,21832.143,218321,0.14696485623003194
34,SYR,Syrian Arab Republic,22125.249,221252,0.0878594249201278
35,TWN,"Taiwan, Province of China",23893.394,238934,0.41214057507987223
36,TJK,Tajikistan,9952.787,99528,0.06389776357827476
37,THA,Thailand,71697.03,716970,0.38977635782747605
38,TLS,Timor-Leste,1341.296,13413,0.12460063897763578
39,TUR,Turkey,85341.241,853412,0.20447284345047922
40,ARE,United Arab Emirates,9441.128,94411,0.1900958466453674
41,UZB,Uzbekistan,34627.652,346277,0.13578274760383385
42,VNM,Viet Nam,98186.856,981869,0.35303514376996803
