Column1,iso_code,location,pop2022,MSM_pop,imp_prob
1,ARM,Armenia,2780.469,27805,0.02361546499477534
2,AZE,Azerbaijan,10358.074,103581,0.03761755485893417
3,BHR,Bahrain,1472.233,14722,0.035736677115987464
4,BGD,Bangladesh,171186.372,1711864,0.05893416927899686
5,BTN,Bhutan,782.455,7825,0.021525600835945662
6,BRN,Brunei Darussalam,449.002,4490,0.056844305120167186
7,KHM,Cambodia,16767.842,167678,0.10658307210031348
8,CHN,China,1.425887337e6,14258873,0.5080459770114942
9,CYP,Cyprus,1251.488,12515,0.010240334378265412
10,GEO,Georgia,3744.385,37444,0.03949843260188088
11,HKG,"Hong Kong, China",7488.865,74889,0.251619644723093
12,IND,India,1.417173173e6,14171732,0.11138975966562173
13,IDN,Indonesia,275501.339,2755013,0.14545454545454545
14,IRN,"Iran, Islamic Republic of",88550.57,885506,0.049529780564263326
15,JPN,Japan,123951.692,1239517,1.0
16,JOR,Jordan,11285.868,112859,0.04597701149425287
17,KAZ,Kazakhstan,19397.998,193980,0.05600835945663532
18,KOR,"Korea, Republic of",51815.81,518158,1.0
19,KWT,Kuwait,4268.873,42689,0.055590386624869384
20,KGZ,Kyrgyzstan,6630.623,66306,0.03260188087774295
21,LAO,Lao People's Democratic Republic,7529.475,75295,0.09237199582027168
22,LBN,Lebanon,5489.74,54897,0.030721003134796237
23,MYS,Malaysia,33938.222,339382,0.16530825496342738
24,MDV,Maldives,523.787,5238,0.05329153605015674
25,MNG,Mongolia,3398.366,33984,0.090282131661442
26,MMR,Myanmar,54179.306,541793,0.09864158829676072
27,NPL,Nepal,30547.58,305476,0.06394984326018809
28,OMN,Oman,4576.298,45763,0.0522466039707419
29,PHL,Philippines,115559.009,1155590,0.21024033437826542
30,QAT,Qatar,2695.122,26951,0.03803552769070011
31,SAU,Saudi Arabia,36408.82,364088,0.07063740856844306
32,SGP,Singapore,5975.688,59757,0.16823406478578892
33,LKA,Sri Lanka,21832.143,218321,0.056844305120167186
34,SYR,Syrian Arab Republic,22125.249,221252,0.025705329153605017
35,TWN,"Taiwan, Province of China",23893.394,238934,0.35067920585161966
36,TJK,Tajikistan,9952.787,99528,0.017972831765935213
37,THA,Thailand,71697.03,716970,0.28338557993730407
38,TLS,Timor-Leste,1341.296,13413,0.04346917450365726
39,TUR,Turkey,85341.241,853412,0.10950888192267502
40,ARE,United Arab Emirates,9441.128,94411,0.09070010449320794
41,UZB,Uzbekistan,34627.652,346277,0.05057471264367816
42,VNM,Viet Nam,98186.856,981869,0.2541274817136886
