Column1,iso_code,location,pop2022,MSM_pop,imp_prob
1,ARM,Armenia,2780.469,27805,0.0393885949441505
2,AZE,Azerbaijan,10358.074,103581,0.06231628453850676
3,BHR,Bahrain,1472.233,14722,0.06537330981775426
4,BGD,Bangladesh,171186.372,1711864,0.09523809523809523
5,BTN,Bhutan,782.455,7825,0.029041740152851263
6,BRN,Brunei Darussalam,449.002,4490,0.08959435626102293
7,KHM,Cambodia,16767.842,167678,0.16601998824221045
8,CHN,China,1.425887337e6,14258873,0.5883597883597883
9,CYP,Cyprus,1251.488,12515,0.012815990593768372
10,GEO,Georgia,3744.385,37444,0.06819517930629042
11,HKG,"Hong Kong, China",7488.865,74889,0.3155790711346267
12,IND,India,1.417173173e6,14171732,0.1754262198706643
13,IDN,Indonesia,275501.339,2755013,0.21293356848912404
14,IRN,"Iran, Islamic Republic of",88550.57,885506,0.07466196355085244
15,JPN,Japan,123951.692,1239517,1.0
16,JOR,Jordan,11285.868,112859,0.07419165196942974
17,KAZ,Kazakhstan,19397.998,193980,0.08030570252792475
18,KOR,"Korea, Republic of",51815.81,518158,1.0
19,KWT,Kuwait,4268.873,42689,0.09312169312169312
20,KGZ,Kyrgyzstan,6630.623,66306,0.041740152851263965
21,LAO,Lao People's Democratic Republic,7529.475,75295,0.15873015873015872
22,LBN,Lebanon,5489.74,54897,0.05102880658436214
23,MYS,Malaysia,33938.222,339382,0.23950617283950618
24,MDV,Maldives,523.787,5238,0.07172251616696061
25,MNG,Mongolia,3398.366,33984,0.1374485596707819
26,MMR,Myanmar,54179.306,541793,0.1706055261610817
27,NPL,Nepal,30547.58,305476,0.08783068783068783
28,OMN,Oman,4576.298,45763,0.08218694885361552
29,PHL,Philippines,115559.009,1155590,0.28383303938859494
30,QAT,Qatar,2695.122,26951,0.05255731922398589
31,SAU,Saudi Arabia,36408.82,364088,0.11228689006466784
32,SGP,Singapore,5975.688,59757,0.23868312757201646
33,LKA,Sri Lanka,21832.143,218321,0.0861845972957084
34,SYR,Syrian Arab Republic,22125.249,221252,0.042210464432686653
35,TWN,"Taiwan, Province of China",23893.394,238934,0.40587889476778366
36,TJK,Tajikistan,9952.787,99528,0.029041740152851263
37,THA,Thailand,71697.03,716970,0.3689594356261023
38,TLS,Timor-Leste,1341.296,13413,0.06878306878306878
39,TUR,Turkey,85341.241,853412,0.16308054085831863
40,ARE,United Arab Emirates,9441.128,94411,0.13815402704291593
41,UZB,Uzbekistan,34627.652,346277,0.06643151087595532
42,VNM,Viet Nam,98186.856,981869,0.34661963550852437
