Column1,iso_code,location,pop2022,MSM_pop,imp_prob
1,ARM,Armenia,2780.469,27805,0.14777618364418937
2,AZE,Azerbaijan,10358.074,103581,0.18938307030129126
3,BHR,Bahrain,1472.233,14722,0.17216642754662842
4,BGD,Bangladesh,171186.372,1711864,0.22955523672883787
5,BTN,Bhutan,782.455,7825,0.13629842180774748
6,BRN,Brunei Darussalam,449.002,4490,0.22381635581061693
7,KHM,Cambodia,16767.842,167678,0.29124820659971307
8,CHN,China,1.425887337e6,14258873,0.6169296987087518
9,CYP,Cyprus,1251.488,12515,0.0975609756097561
10,GEO,Georgia,3744.385,37444,0.18651362984218078
11,HKG,"Hong Kong, China",7488.865,74889,0.42037302725968434
12,IND,India,1.417173173e6,14171732,0.3012912482065997
13,IDN,Indonesia,275501.339,2755013,0.33428981348637016
14,IRN,"Iran, Islamic Republic of",88550.57,885506,0.19368723098995697
15,JPN,Japan,123951.692,1239517,1.0
16,JOR,Jordan,11285.868,112859,0.19368723098995697
17,KAZ,Kazakhstan,19397.998,193980,0.21664275466284075
18,KOR,"Korea, Republic of",51815.81,518158,1.0
19,KWT,Kuwait,4268.873,42689,0.2266857962697274
20,KGZ,Kyrgyzstan,6630.623,66306,0.1606886657101865
21,LAO,Lao People's Democratic Republic,7529.475,75295,0.2769010043041607
22,LBN,Lebanon,5489.74,54897,0.17073170731707318
23,MYS,Malaysia,33938.222,339382,0.36585365853658536
24,MDV,Maldives,523.787,5238,0.21377331420373027
25,MNG,Mongolia,3398.366,33984,0.27259684361549497
26,MMR,Myanmar,54179.306,541793,0.2797704447632712
27,NPL,Nepal,30547.58,305476,0.22525107604017217
28,OMN,Oman,4576.298,45763,0.20516499282639886
29,PHL,Philippines,115559.009,1155590,0.3830703012912482
30,QAT,Qatar,2695.122,26951,0.17647058823529413
31,SAU,Saudi Arabia,36408.82,364088,0.24964131994261118
32,SGP,Singapore,5975.688,59757,0.3400286944045911
33,LKA,Sri Lanka,21832.143,218321,0.22812051649928264
34,SYR,Syrian Arab Republic,22125.249,221252,0.14777618364418937
35,TWN,"Taiwan, Province of China",23893.394,238934,0.48206599713055953
36,TJK,Tajikistan,9952.787,99528,0.11908177905308465
37,THA,Thailand,71697.03,716970,0.4246771879483501
38,TLS,Timor-Leste,1341.296,13413,0.20229555236728838
39,TUR,Turkey,85341.241,853412,0.3012912482065997
40,ARE,United Arab Emirates,9441.128,94411,0.2783357245337159
41,UZB,Uzbekistan,34627.652,346277,0.21807747489239598
42,VNM,Viet Nam,98186.856,981869,0.41606886657101866
