Column1,iso_code,location,pop2022,MSM_pop,imp_prob
1,ARM,Armenia,2780.469,27805,0.09068466096115865
2,AZE,Azerbaijan,10358.074,103581,0.11570111915734035
3,BHR,Bahrain,1472.233,14722,0.11010533245556287
4,BGD,Bangladesh,171186.372,1711864,0.15207373271889402
5,BTN,Bhutan,782.455,7825,0.08229098090849243
6,BRN,Brunei Darussalam,449.002,4490,0.15273206056616195
7,KHM,Cambodia,16767.842,167678,0.2073732718894009
8,CHN,China,1.425887337e6,14258873,0.5785055957867018
9,CYP,Cyprus,1251.488,12515,0.03966425279789335
10,GEO,Georgia,3744.385,37444,0.12425938117182357
11,HKG,"Hong Kong, China",7488.865,74889,0.337063857801185
12,IND,India,1.417173173e6,14171732,0.2152732060566162
13,IDN,Indonesia,275501.339,2755013,0.2465437788018433
14,IRN,"Iran, Islamic Republic of",88550.57,885506,0.13413429888084266
15,JPN,Japan,123951.692,1239517,1.0
16,JOR,Jordan,11285.868,112859,0.13199473337722187
17,KAZ,Kazakhstan,19397.998,193980,0.1489466754443713
18,KOR,"Korea, Republic of",51815.81,518158,1.0
19,KWT,Kuwait,4268.873,42689,0.14845292955892034
20,KGZ,Kyrgyzstan,6630.623,66306,0.10171165240289665
21,LAO,Lao People's Democratic Republic,7529.475,75295,0.19519420671494403
22,LBN,Lebanon,5489.74,54897,0.11010533245556287
23,MYS,Malaysia,33938.222,339382,0.2597103357472021
24,MDV,Maldives,523.787,5238,0.14186965108624094
25,MNG,Mongolia,3398.366,33984,0.18976300197498355
26,MMR,Myanmar,54179.306,541793,0.19716919025674787
27,NPL,Nepal,30547.58,305476,0.15997366688610928
28,OMN,Oman,4576.298,45763,0.1382488479262673
29,PHL,Philippines,115559.009,1155590,0.31040157998683343
30,QAT,Qatar,2695.122,26951,0.11537195523370639
31,SAU,Saudi Arabia,36408.82,364088,0.16556945358788677
32,SGP,Singapore,5975.688,59757,0.2685977616853193
33,LKA,Sri Lanka,21832.143,218321,0.15009874917709018
34,SYR,Syrian Arab Republic,22125.249,221252,0.09743252139565503
35,TWN,"Taiwan, Province of China",23893.394,238934,0.4167215273206057
36,TJK,Tajikistan,9952.787,99528,0.07159315339038841
37,THA,Thailand,71697.03,716970,0.3790322580645161
38,TLS,Timor-Leste,1341.296,13413,0.1283739302172482
39,TUR,Turkey,85341.241,853412,0.20819618169848583
40,ARE,United Arab Emirates,9441.128,94411,0.19009216589861752
41,UZB,Uzbekistan,34627.652,346277,0.13561553653719552
42,VNM,Viet Nam,98186.856,981869,0.34924292297564186
