"import","cohort","count","export_cntry","import_cntry","time","sim_index","export","ex_im","gen_index","seq_index","freq"
"Cambodia","68_11_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","442_13_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","505_14_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","355_11_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","583_4_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","443_14_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","514_12_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","444_17_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"Cambodia","580_14_1_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,1
"China","419_1_2_11",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","458_2_2_5",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","250_1_2_6",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","68_2_2_8",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0679245283018868
"China","417_1_2_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0679245283018868
"China","421_1_2_16",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0679245283018868
"China","420_2_2_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0679245283018868
"China","582_2_3_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0679245283018868
"China","582_2_3_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0679245283018868
"China","419_1_2_13",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0679245283018868
"China","495_1_3_1",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0679245283018868
"China","422_1_2_14",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0679245283018868
"China","495_1_3_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0679245283018868
"China","443_1_2_6",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","387_1_2_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","568_2_2_6",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","530_1_2_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","162_2_2_9",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","420_2_2_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","583_1_2_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","582_2_2_6",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","83_1_2_9",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","495_1_2_4",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","584_2_2_5",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","513_1_2_9",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","76_2_2_2",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","249_1_2_11",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","427_1_2_18",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
"China","583_1_2_3",NA,NA,NA,NA,NA,"Japan",NA,1,NA,0.0849056603773585
